generation,cost_obj1,aep_obj2
10,              902288825.3,              114818775.7
10,             1396792542.7,              177337816.6
10,             1304319124.6,              163174215.7
10,             1782326152.7,              210301391.0
10,              887341568.5,              110803100.8
10,              815767550.3,               91948654.8
10,             1696524106.6,              196784750.2
10,             1296065724.3,              158740019.5
10,             1321407818.3,              165257505.4
10,             1635432890.6,              191161670.5
10,             1389439817.2,              174707589.0
10,             1200766018.9,              142518263.0
10,             1367210862.9,              174684201.4
10,             1766287831.9,              209005458.0
10,             1163556970.7,              134353870.3
10,             1178119702.3,              136562923.7
10,             1560797035.9,              189684907.7
10,              996249130.7,              128270165.9
10,             1116237351.1,              128467034.7
10,             1596952236.1,              191110756.5
10,             1209541257.2,              143954918.4
10,              835351989.4,              103517087.9
10,             1240592494.8,              150520326.0
10,             1713453183.9,              200317226.9
10,              816991604.6,               92967510.4
10,             1299297237.8,              161622294.5
10,             1145512733.9,              131983036.3
10,             1190295771.4,              141910808.1
10,              972262950.3,              125249277.9
10,             1402983109.1,              182266179.1
10,             1250551011.6,              153928447.3
10,             1149659207.5,              132571203.1
10,             1306001825.8,              163818799.0
10,              841486655.1,              104169154.5
10,             1558847375.4,              183148993.6
10,              869575136.9,              106173369.1
10,             1224402630.3,              148760691.8
10,             1176384132.2,              135892388.0
10,             1701225157.2,              196835789.6
10,             1336913683.5,              171692919.0
10,             1304022858.4,              162285833.9
10,             1218216044.7,              144911171.1
10,             1272603069.4,              156102701.3
10,              813143212.1,               91687729.6
10,             1430293010.8,              182567148.3
10,             1158911944.0,              133709459.7
10,             1757452828.5,              206245296.5
10,             1292015833.6,              157225957.1
10,             1746270034.9,              203638371.3
10,              782659001.2,               84669774.7
10,              759198961.5,               81302519.2
11,              548218359.2,               60294140.5
11,             1852237311.6,              221530511.5
11,             1740346914.5,              205874629.5
11,             1812008105.0,              212172736.6
11,              810629843.0,               93504304.5
11,             1148654376.0,              137497242.1
11,              706310998.8,               72212502.6
11,              895328713.0,              111811444.2
11,             1430293010.8,              182567148.3
11,             1266252255.9,              154609420.8
11,             1696524106.6,              196784750.2
11,             1757452828.5,              206245296.5
11,             1304022858.4,              162285833.9
11,             1560797035.9,              189684907.7
11,              902288825.3,              114818775.7
11,              931601047.8,              120782529.3
11,             1250551011.6,              153928447.3
11,              763147787.1,               85597910.5
11,              887341568.5,              110803100.8
11,             1374931225.9,              177601597.3
11,             1765569694.3,              210293594.8
11,             1145512733.9,              131983036.3
11,             1190295771.4,              141910808.1
11,             1304319124.6,              163174215.7
11,              972262950.3,              125249277.9
11,             1831989165.0,              217588257.0
11,             1133478902.8,              129596863.3
11,             1183458682.2,              139930026.1
11,             1402983109.1,              182266179.1
11,             1272603069.4,              156102701.3
11,             1367210862.9,              174684201.4
11,             1306001825.8,              163818799.0
11,             1306228596.5,              163950260.3
11,             1710346006.2,              198916460.7
11,             1228705333.5,              153617229.8
11,             1781255561.4,              210303679.0
11,             1829427761.2,              214189078.8
11,              835351989.4,              103517087.9
11,             1298422761.8,              159299711.2
11,             1292015833.6,              157225957.1
11,             1558847375.4,              183148993.6
11,             1299297237.8,              161622294.5
11,             1596952236.1,              191110756.5
11,             1336913683.5,              171692919.0
11,              841486655.1,              104169154.5
11,             1448263847.0,              183086009.5
11,             1604036054.3,              195925439.4
11,              925878050.4,              118111137.3
11,             1321407818.3,              165257505.4
11,              996249130.7,              128270165.9
11,             1293898394.0,              158111949.8
11,              913680357.5,              117992667.2
11,             1224402630.3,              148760691.8
11,             1425814042.3,              182391911.5
11,             1713453183.9,              200317226.9
11,              945418985.5,              121803118.8
11,             1296065724.3,              158740019.5
11,              759198961.5,               81302519.2
11,              865918945.0,              106697971.6
11,             1731583195.8,              202995837.5
11,             1729331695.1,              202522996.4
11,             1116237351.1,              128467034.7
11,             1259729070.3,              154337691.4
11,             1196322431.5,              148691787.2
11,              743569385.7,               78378588.9
11,             1363063750.8,              171722417.1
11,             1701225157.2,              196835789.6
12,              548218359.2,               60294140.5
12,             1880337858.4,              226329622.7
12,             1319983025.8,              168373955.9
12,             1847097277.7,              218584423.0
12,             1250551011.6,              153928447.3
